0;(3,0,8,0);(2,0,4,2);(1,0,2,1);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
1;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
2;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,2);(9,3,7,0);(8,3,5,0)
3;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
4;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,2);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
5;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,1);(8,3,5,0)
6;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
7;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
8;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,1);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
9;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
10;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
11;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
12;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
13;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
14;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
15;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
16;(3,0,8,0);(2,0,4,0);(1,0,2,0);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
